/* DATA DESCRIPTION:
Citation:	Miest, Joanna; Arndt, Carmen; Adamek, Mikolaj; Steinhagen, Dieter; Reusch, Thorsten B H (2015): Growth during feeding of Scophthalmus maximus first feeding larvae with beta-glucan (MacroGard). PANGAEA, https://doi.org/10.1594/PANGAEA.856088, 
	In supplement to: Miest, J et al. (2016): Dietary beta-glucan (MacroGard®) enhances survival of first feeding turbot (Scophthalmus maximus) larvae by altering immunity, metabolism and microbiota. Fish & Shellfish Immunology, 48, 94-104, https://doi.org/10.1016/j.fsi.2015.11.013
Parameter(s):	Sample code/label (Sample label) * PI: Miest, Joanna (https://orcid.org/0000-0003-2534-0530, j.j.miest@gre.ac.uk) * COMMENT: Tank
	Treatment (Treat) * PI: Miest, Joanna (https://orcid.org/0000-0003-2534-0530, j.j.miest@gre.ac.uk)
	Time in days [days] (Time) * PI: Miest, Joanna (https://orcid.org/0000-0003-2534-0530, j.j.miest@gre.ac.uk) * COMMENT: Sampling time [days post hatch]
	Sample ID (Sample ID) * PI: Miest, Joanna (https://orcid.org/0000-0003-2534-0530, j.j.miest@gre.ac.uk)
	Species (Species) * PI: Miest, Joanna (https://orcid.org/0000-0003-2534-0530, j.j.miest@gre.ac.uk)
	Mass [mg] (Mass) * PI: Miest, Joanna (https://orcid.org/0000-0003-2534-0530, j.j.miest@gre.ac.uk)
	Length [mm] (l) * PI: Miest, Joanna (https://orcid.org/0000-0003-2534-0530, j.j.miest@gre.ac.uk)
	Width [mm] (w) * PI: Miest, Joanna (https://orcid.org/0000-0003-2534-0530, j.j.miest@gre.ac.uk)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	510 data points
*/
Sample label	Treat	Time [days]	Sample ID	Species	Mass [mg]	l [mm]	w [mm]
MG1	MacroGard	11	51	Scophthalmus maximus	0.1588	3.16	0.48
MG1	MacroGard	11	52	Scophthalmus maximus	0.2607	3.22	0.68
MG1	MacroGard	11	53	Scophthalmus maximus	0.5181	4.42	1.07
MG1	MacroGard	11	54	Scophthalmus maximus	0.2352	3.37	0.52
MG1	MacroGard	11	55	Scophthalmus maximus	0.2711	3.38	0.67
MG1	MacroGard	11	56	Scophthalmus maximus	0.5563	4.09	0.86
MG2	MacroGard	11	57	Scophthalmus maximus	0.4302	3.75	0.62
MG2	MacroGard	11	58	Scophthalmus maximus	0.2380	3.00	0.54
MG2	MacroGard	11	59	Scophthalmus maximus	0.3010	3.50	0.64
MG2	MacroGard	11	60	Scophthalmus maximus	0.3022	4.07	0.82
MG2	MacroGard	11	61	Scophthalmus maximus	0.2570	3.21	0.66
MG2	MacroGard	11	62	Scophthalmus maximus	0.2147	3.05	0.55
MG3	MacroGard	11	63	Scophthalmus maximus	0.7012	4.58	1.19
MG3	MacroGard	11	64	Scophthalmus maximus	0.2913	3.60	0.62
MG3	MacroGard	11	65	Scophthalmus maximus	0.1969	3.19	0.49
MG3	MacroGard	11	66	Scophthalmus maximus	0.2830	3.21	0.70
MG3	MacroGard	11	67	Scophthalmus maximus	0.6105	3.63	0.96
MG3	MacroGard	11	68	Scophthalmus maximus	0.1736	2.70	0.42
K1	Control	11	69	Scophthalmus maximus	0.3544	3.90	0.68
K1	Control	11	70	Scophthalmus maximus	0.4470	4.08	0.74
K1	Control	11	71	Scophthalmus maximus	0.2660	3.86	0.54
K1	Control	11	72	Scophthalmus maximus	0.1948	3.00	0.44
K1	Control	11	73	Scophthalmus maximus	0.2208	3.58	0.86
K1	Control	11	74	Scophthalmus maximus	0.2253	3.30	0.44
