Especie,Peso,Longitud1,Longitud2,Longitud3,Longitud4,Alto,Ancho
Tilapia,242,23.2,25.4,30,12.52,11.52,4.02
Tilapia,290,24,26.3,31.2,16.48,12.48,4.3056
Tilapia,340,23.9,26.5,31.1,16.3778,12.3778,4.6961
Tilapia,363,26.3,29,33.5,13.73,12.73,4.4555
Tilapia,430,26.5,29,34,14.444,12.444,5.134
Tilapia,450,26.8,29.7,34.7,19.6024,13.6024,4.9274
Tilapia,500,26.8,29.7,34.5,21.1795,14.1795,5.2785
Tilapia,390,27.6,30,35,14.67,12.67,4.69
Tilapia,450,27.6,30,35.1,18.0049,14.0049,4.8438
Tilapia,500,28.5,30.7,36.2,21.2266,14.2266,4.9594
Tilapia,475,28.4,31,36.2,19.2628,14.2628,5.1042
Tilapia,500,28.7,31,36.2,17.3714,14.3714,4.8146
Tilapia,500,29.1,31.5,36.4,14.7592,13.7592,4.368
Tilapia,340,29.5,32,37.3,15.9129,13.9129,5.0728
Tilapia,600,29.4,32,37.2,18.9544,14.9544,5.1708
Tilapia,600,29.4,32,37.2,20.438,15.438,5.58
Tilapia,700,30.4,33,38.3,16.8604,14.8604,5.2854
Tilapia,700,30.4,33,38.5,16.938,14.938,5.1975
Tilapia,610,30.9,33.5,38.6,17.633,15.633,5.1338
Tilapia,650,31,33.5,38.7,19.4738,14.4738,5.7276
Tilapia,575,31.3,34,39.5,20.1285,15.1285,5.5695
Tilapia,685,31.4,34,39.2,17.9936,15.9936,5.3704
Tilapia,620,31.5,34.5,39.7,17.5227,15.5227,5.2801
Tilapia,680,31.8,35,40.6,21.4686,15.4686,6.1306
Tilapia,700,31.9,35,40.5,22.2405,16.2405,5.589
Tilapia,725,31.8,35,40.9,17.36,16.36,6.0532
Tilapia,720,32,35,40.6,18.3618,16.3618,6.09
Tilapia,714,32.7,36,41.5,19.517,16.517,5.8515
Tilapia,850,32.8,36,41.6,21.8896,16.8896,6.1984
Tilapia,1000,33.5,37,42.6,23.957,18.957,6.603
Tilapia,920,35,38.5,44.1,24.0369,18.0369,6.3063
Tilapia,955,35,38.5,44,24.084,18.084,6.292
Tilapia,925,36.2,39.5,45.3,21.7542,18.7542,6.7497
Tilapia,975,37.4,41,45.9,20.6354,18.6354,6.7473
Tilapia,950,38,41,46.5,21.6235,17.6235,6.3705
Rutilo,40,12.9,14.1,16.2,9.1472,4.1472,2.268
Rutilo,69,16.5,18.2,20.3,11.2983,5.2983,2.8217
Rutilo,78,17.5,18.8,21.2,12.5756,5.5756,2.9044
Rutilo,87,18.2,19.8,22.2,11.6166,5.6166,3.1746
Rutilo,120,18.6,20,22.2,11.216,6.216,3.5742
Rutilo,0,19,20.5,22.8,12.4752,6.4752,3.3516
Rutilo,110,19.1,20.8,23.1,13.1677,6.1677,3.3957
Rutilo,120,19.4,21,23.7,8.1146,6.1146,3.2943
Rutilo,150,20.4,22,24.7,6.8045,5.8045,3.7544
Rutilo,145,20.5,22,24.3,7.6339,6.6339,3.5478
Rutilo,160,20.5,22.5,25.3,8.0334,7.0334,3.8203
Rutilo,140,21,22.5,25,12.55,6.55,3.325
Rutilo,160,21.1,22.5,25,11.4,6.4,3.8
Rutilo,169,22,24,27.2,12.5344,7.5344,3.8352
Rutilo,161,22,23.4,26.7,8.9153,6.9153,3.6312
