Sample ID	ExpNum	TreatTemp	Meas_Temp	WetWeight(g)	buffer(ml)	MessVol(ul)	slopeLDH	slopeTDH	slopeCS	ActivityLDH	ActivityTDH	ActivityCS
Hf100U	3	24	18	0.093	0.93	20	0.0331	0.3147	0.0196	2.660771704	22.63665595	0.72005878
Hf100U	3	24	18	0.093	0.93	10	0.0145	0.1585	0.01	2.331189711	23.1511254	0.734753857
Hf100U	3	24	32	0.093	0.93	20	0.1431	0.52	0.0425	11.50321543	30.29742765	1.561351947
Hf100U	3	24	32	0.093	0.93	10	0.0653	0.292	0.0201	10.49839228	36.44694534	1.476855253
Hf101U	3	30	18	0.114	1.14	20	0.0354	0.2801	0.0097	2.845659164	19.67041801	0.356355621
Hf101U	3	30	18	0.114	1.14	10	0.0155	0.1337	0.0046	2.491961415	19.00321543	0.337986774
Hf101U	3	30	32	0.114	1.14	20	0.1173	0.5049	0.0167	9.42926045	31.15755627	0.613519471
Hf101U	3	30	32	0.114	1.14	10	0.0586	0.2438	0.0082	9.421221865	29.77491961	0.602498163
Hf102U	3	30	18	0.092	0.92	20	0.0279	0.3116	0.0076	2.242765273	22.80546624	0.279206466
Hf102U	3	30	18	0.092	0.92	10	0.0115	0.1571	0.0051	1.848874598	23.40836013	0.374724467
Hf102U	3	30	32	0.092	0.92	20	0.1148	0.4865	0.0139	9.22829582	29.87942122	0.510653931
Hf102U	3	30	32	0.092	0.92	10	0.0576	0.2597	0.0065	9.260450161	32.49196141	0.477590007
Hf103U	3	30	18	0.089	0.89	20	0.0202	0.1783	0.0088	1.623794212	12.70900322	0.323291697
Hf103U	3	30	18	0.089	0.89	10	0.0112	0.0888	0.0048	1.800643087	12.47588424	0.352681852
Hf103U	3	30	32	0.089	0.89	20	0.0923	0.3241	0.0128	7.419614148	18.63344051	0.470242469
Hf103U	3	30	32	0.089	0.89	10	0.0455	0.149	0.0062	7.31511254	16.63987138	0.455547392
Hf104U	3	30	18	0.09	0.9	20	0.0309	0.3367	0.0098	2.48392283	24.58199357	0.36002939
Hf104U	3	30	18	0.09	0.9	10	0.0132	0.1724	0.0067	2.122186495	25.59485531	0.492285084
Hf104U	3	30	32	0.09	0.9	20	0.1235	0.6119	0.0158	9.927652733	39.26045016	0.580455547
Hf104U	3	30	32	0.09	0.9	10	0.0552	0.2804	0.0073	8.874598071	36.20578778	0.536370316
Hf104U	3	30	18	0.09	0.9	20	0.0309	0.2936	0	0	21.11736334	0
Hf104U	3	30	18	0.09	0.9	10	0.0132	0.1505	0	0	22.07395498	0
Hf105U	3	30	18	0.091	0.91	20	0.0366	0.2291	0.0147	2.942122186	15.47427653	0.540044085
Hf105U	3	30	18	0.091	0.91	10	0.0181	0.1125	0.0074	2.909967846	15.17684887	0.543717855
Hf105U	3	30	32	0.091	0.91	20	0.1478	0.4377	0.0228	11.88102894	23.30385852	0.837619398
Hf105U	3	30	32	0.091	0.91	10	0.0729	0.2178	0.0109	11.72025723	23.29581994	0.800881705
Hf105U	3	30	18	0.091	0.91	20	0.0366	0.1844	0	0	11.88102894	0
Hf105U	3	30	18	0.091	0.91	10	0.0181	0.0937	0	0	12.15434084	0
Hf106U	3	30	18	0.1	1	20	0.0278	0.2395	0.0112	2.234726688	17.01768489	0.41146216
Hf106U	3	30	18	0.1	1	10	0.0123	0.12	0.0053	1.977491961	17.31511254	0.389419544
Hf106U	3	30	32	0.1	1	20	0.1136	0.4056	0.0168	9.131832797	23.47266881	0.61719324
Hf106U	3	30	32	0.1	1	10	0.0512	0.2222	0.0085	8.231511254	27.49196141	0.624540779
Hf106U	3	30	18	0.1	1	20	0.0278	0.2024	0	0	14.03536977	0
Hf106U	3	30	18	0.1	1	10	0.0123	0.1056	0	0	15	0
Hf111U	3	32	18	0.066	0.66	20	0.0173	0.3512	0.0165	1.390675241	26.84083601	0.606171932
Hf111U	3	32	18	0.066	0.66	10	0.0058	0.1629	0.0088	0.932475884	25.25723473	0.646583395
Hf111U	3	32	32	0.066	0.66	20	0.0822	0.5329	0.03	6.607717042	36.22990354	1.102130786
Hf111U	3	32	32	0.066	0.66	10	0.0403	0.2743	0	6.479099678	37.62057878	0
Hf114U	3	32	18	0.062	0.62	20	0.0163	0.2083	0.0146	1.310289389	15.4340836	0.536370316
Hf114U	3	32	18	0.062	0.62	10	0.0071	0.1056	0.0072	1.1414791	15.83601286	0.529022777
Hf114U	3	32	32	0.062	0.62	20	0.0961	0.3836	0.0248	7.725080386	23.11093248	0.911094783
Hf114U	3	32	32	0.062	0.62	10	0.0441	0.1967	0.0122	7.090032154	24.53376206	0.896399706
Hf115U	3	32	18	0.054	0.54	20	0.019	0.2921	0.0192	1.52733119	21.95337621	0.705363703
Hf115U	3	32	18	0.054	0.54	10	0.0083	0.1478	0.0095	1.334405145	22.42765273	0.698016165
Hf115U	3	32	32	0.054	0.54	20	0.1039	0.4593	0.0374	8.352090032	28.56913183	1.373989713
Hf115U	3	32	32	0.054	0.54	10	0.0453	0.2634	0.0179	7.282958199	35.06430868	1.315209405
Hf116U	3	32	18	0.047	0.47	20	0.0194	0.2301	0.0126	1.559485531	16.93729904	0.46289493
Hf116U	3	32	18	0.047	0.47	10	0.0087	0.1167	0.0065	1.398713826	17.36334405	0.477590007
Hf116U	3	32	32	0.047	0.47	20	0.112	0.4986	0.0263	9.003215434	31.07717042	0.966201323
Hf116U	3	32	32	0.047	0.47	10	0.05	0.2234	0.0122	8.038585209	27.8778135	0.896399706
Hf117U	3	32	18	0.067	0.67	20	0.017	0.3363	0.0141	1.366559486	25.66720257	0.51800147
Hf117U	3	32	18	0.067	0.67	10	0.0075	0.1689	0.007	1.205787781	25.94855305	0.5143277
Hf117U	3	32	32	0.067	0.67	20	0.0768	0.5665	0.0264	6.173633441	39.36495177	0.969875092
Hf117U	3	32	32	0.067	0.67	10	0.0359	0.2724	0.0129	5.77170418	38.02250804	0.947832476
Hf120U	3	32	18	0.087	0.87	20	0.0184	0.2875	0.0112	1.479099678	21.6318328	0.41146216
Hf120U	3	32	18	0.087	0.87	10	0.008	0.1413	0.006	1.286173633	21.43086817	0.440852314
Hf120U	3	32	32	0.087	0.87	20	0.0894	0.472	0.0149	7.186495177	30.75562701	0.547391624
Hf120U	3	32	32	0.087	0.87	10	0.0444	0.2536	0.0097	7.138263666	33.63344051	0.712711242
Hf82U	3	18	18	0.082	0.82	20	0.0263	0.2712	0.0161	2.11414791	19.68649518	0.591476855
Hf82U	3	18	18	0.082	0.82	10	0.0167	0.1406	0.008	2.68488746	19.91961415	0.587803086
Hf82U	3	18	32	0.082	0.82	20	0.1023	0.4734	0.031	8.223472669	29.83118971	1.138868479
Hf82U	3	18	32	0.082	0.82	10	0.0494	0.23664	0.015	7.942122186	30.10289389	1.102130786
Hf83U	3	18	18	0.095	0.95	20	0.0286	0.2391	0.0231	2.29903537	16.92122186	0.848640705
Hf83U	3	18	18	0.095	0.95	10	0.0148	0.1175	0.0119	2.379421222	16.51125402	0.87435709
Hf83U	3	18	32	0.095	0.95	20	0.1145	0.4233	0.0437	9.204180064	24.82315113	1.605437179
Hf83U	3	18	32	0.095	0.95	10	0.0569	0.2125	0.0212	9.147909968	25.01607717	1.557678178
Hf84U	3	18	18	0.07	0.7	20	0.0252	0.1985	0.016	2.025723473	13.93086817	0.587803086
Hf84U	3	18	18	0.07	0.7	10	0.0127	0.0928	0.008	2.041800643	12.8778135	0.587803086
Hf84U	3	18	32	0.07	0.7	20	0.1006	0.34	0.0296	8.08681672	19.24437299	1.087435709
Hf84U	3	18	32	0.07	0.7	10	0.0487	0.1612	0.0149	7.829581994	18.08681672	1.094783248
Hf85U	3	18	18	0.094	0.94	20	0.0278	0.3039	0.0177	2.234726688	22.19453376	0.650257164
Hf85U	3	18	18	0.094	0.94	10	0.0123	0.1617	0.0099	1.977491961	24.0192926	0.727406319
Hf85U	3	18	32	0.094	0.94	20	0.1051	0.5783	0.038	8.448553055	38.03858521	1.396032329
Hf85U	3	18	32	0.094	0.94	10	0.051	0.2632	0.0171	8.199356913	34.11575563	1.256429096
Hf87U	3	18	18	0.1	1	20	0.031	0.2813	0.0271	2.491961415	20.12057878	0.995591477
Hf87U	3	18	18	0.1	1	10	0.015	0.146	0.0128	2.411575563	21.06109325	0.940484938
