"numero","genero","dia1","dia2","dia3"
2111,"Hombre",2.64,1.35,1.61
2229,"Mujer",0.97,1.41,0.29
2338,"Hombre",0.84,NA,NA
2384,"Mujer",3.03,NA,NA
2401,"Mujer",0.88,0.08,NA
2405,"Hombre",0.85,NA,NA
2467,"Mujer",1.56,NA,NA
2478,"Mujer",3.02,NA,NA
2490,"Hombre",2.29,NA,NA
2504,"Mujer",1.11,0.44,0.55
2509,"Hombre",2.17,NA,NA
2510,"Mujer",0.82,0.2,0.47
2514,"Hombre",1.41,NA,NA
2515,"Mujer",1.76,1.64,1.58
2520,"Hombre",1.38,0.02,NA
2521,"Mujer",2.79,NA,NA
2529,"Hombre",1.5,NA,NA
2533,"Mujer",1.91,2.05,NA
2535,"Mujer",2.32,NA,NA
2538,"Hombre",2.05,NA,NA
2549,"Hombre",2.17,0.7,0.76
2551,"Mujer",2.05,NA,NA
2558,"Mujer",1.61,NA,NA
2562,"Mujer",1.66,0.85,NA
2565,"Mujer",2.3,NA,NA
2566,"Mujer",2.76,NA,NA
2568,"Mujer",1.44,NA,NA
2586,"Mujer",1.06,NA,NA
2601,"Hombre",3.23,NA,NA
2602,"Hombre",0.97,0.38,0.76
2604,"Hombre",2.57,0.11,0.02
2606,"Mujer",0.26,NA,NA
2609,"Mujer",0.47,NA,NA
2611,"Mujer",1.73,NA,NA
2612,"Hombre",1.94,0.82,1.67
2616,"Hombre",1.91,NA,NA
2624,"Mujer",2.08,0.91,0.96
2633,"Mujer",1.91,NA,NA
2642,"Mujer",1.42,NA,NA
2644,"Hombre",1.5,NA,NA
2662,"Mujer",0.11,NA,NA
2663,"Hombre",1.67,NA,NA
2664,"Hombre",2.08,NA,NA
2669,"Mujer",2.05,NA,NA
2670,"Hombre",2,NA,NA
2675,"Hombre",1.52,NA,NA
2676,"Mujer",1.58,NA,NA
2677,"Hombre",1.28,0.38,0.14
2681,"Hombre",1.88,NA,NA
2685,"Mujer",1.32,NA,NA
2686,"Mujer",2.09,NA,NA
2687,"Hombre",2,NA,NA
2688,"Mujer",2.64,NA,NA
2689,"Hombre",0.85,0.32,0.52
2692,"Mujer",2.47,0.23,0.38
2698,"Mujer",1.79,NA,NA
2709,"Mujer",1.64,NA,NA
2710,"Hombre",1.32,NA,NA
2712,"Mujer",2.97,NA,NA
2726,"Mujer",1.44,0.14,NA
2727,"Mujer",2.02,NA,NA
2728,"Hombre",1.79,NA,NA
2730,"Hombre",1.34,NA,NA
2731,"Mujer",2.29,1.9,NA
2732,"Mujer",1.66,NA,NA
2734,"Mujer",0.6,NA,NA
2735,"Mujer",1.76,0.76,0.29
2736,"Mujer",1.5,NA,NA
2737,"Mujer",2.08,0.7,NA
2748,"Mujer",1,0.55,NA
2752,"Hombre",1.73,NA,NA
2756,"Mujer",1.05,0.38,NA
2758,"Hombre",2.81,NA,NA
2759,"Mujer",1.52,NA,NA
2768,"Hombre",1.47,NA,NA
2769,"Mujer",2.64,NA,NA
2770,"Mujer",2.2,1.18,NA
2771,"Hombre",0.55,0.79,NA
2772,"Hombre",2.29,NA,NA
2773,"Mujer",2,NA,NA
2775,"Hombre",2.23,NA,NA
2779,"Mujer",2.45,NA,NA
2780,"Hombre",1.2,NA,NA
2783,"Hombre",2.91,2.08,2.11
2784,"Mujer",1.14,1,NA
2788,"Hombre",1.88,NA,NA
2789,"Hombre",0.94,NA,NA
2791,"Mujer",1.85,NA,NA
2794,"Mujer",2.58,NA,NA
2796,"Mujer",0.61,NA,NA
2799,"Hombre",0.7,NA,NA
2806,"Hombre",1.38,NA,NA
2807,"Mujer",1.94,NA,NA
2811,"Mujer",2.29,NA,NA
2812,"Hombre",1.59,NA,NA
2813,"Mujer",2.46,NA,NA
2814,"Mujer",1.67,0.14,NA
2825,"Mujer",2.02,0.58,0.5
2827,"Hombre",1.5,NA,NA
2828,"Mujer",2.7,1.7,1.91
2829,"Mujer",1.61,NA,NA
2830,"Hombre",2.29,NA,NA
2831,"Mujer",0.97,1.06,0.76
2839,"Hombre",1.85,NA,NA
2842,"Mujer",2.76,NA,NA
2857,"Hombre",1.64,NA,NA
2858,"Hombre",1.17,NA,NA
2859,"Hombre",1.57,NA,NA
2862,"Mujer",2.23,NA,NA
2863,"Mujer",2.05,1.58,2.15
2875,"Mujer",2.05,NA,NA
2876,"Mujer",2.94,NA,NA
2883,"Mujer",2.39,NA,NA
2890,"Hombre",1.94,NA,NA
2894,"Mujer",2.12,NA,NA
2895,"Mujer",1.11,NA,NA
2897,"Mujer",0.97,NA,NA
2898,"Mujer",1.35,NA,NA
2899,"Mujer",2.81,2.08,NA
2900,"Mujer",2.5,NA,NA
2901,"Hombre",1.87,NA,NA
2920,"Hombre",1.33,NA,NA
2921,"Mujer",1.26,NA,NA
2922,"Mujer",1.44,NA,NA
2923,"Hombre",0.55,NA,NA
2924,"Mujer",1.75,NA,NA
2925,"Mujer",2.08,NA,NA
2932,"Hombre",0.85,NA,NA
2933,"Mujer",2.52,NA,NA
2935,"Mujer",3,NA,NA
2936,"Mujer",1.41,NA,NA
2937,"Mujer",1.08,NA,NA
2938,"Hombre",1.2,1.38,1.5
2940,"Hombre",1.94,1.44,NA
2941,"Mujer",2.26,1.73,1.73
2942,"Hombre",1.41,NA,NA
2948,"Mujer",2.5,NA,NA
2952,"Hombre",2.17,NA,NA
2953,"Hombre",1.82,1.11,NA
2954,"Mujer",1.44,1.14,NA
2956,"Mujer",1.66,NA,NA
2957,"Hombre",1.82,NA,NA
2958,"Hombre",1.26,NA,NA
2959,"Mujer",2.67,NA,NA
2961,"Mujer",1.47,NA,NA
2962,"Mujer",1.84,NA,NA
2964,"Mujer",2.58,NA,NA
2966,"Hombre",1.73,NA,NA
2967,"Hombre",1.23,NA,NA
2968,"Hombre",2.32,NA,NA
2972,"Mujer",2.67,NA,NA
2974,"Mujer",1.02,NA,NA
2975,"Mujer",1.66,2.12,2.7
2976,"Mujer",1.88,NA,NA
2977,"Mujer",1.91,NA,NA
2978,"Mujer",1.64,NA,NA
2979,"Hombre",1.34,NA,NA
2982,"Hombre",1.85,NA,NA
2983,"Hombre",2.08,NA,NA
2984,"Hombre",1.02,NA,NA
2985,"Mujer",1.79,NA,NA
2988,"Mujer",1.94,NA,NA
2989,"Mujer",3.26,1.97,1.67
2990,"Hombre",1.14,0.58,0.11
3008,"Mujer",1.5,0.7,0.38
3009,"Mujer",2.03,NA,NA
3010,"Mujer",2.24,NA,NA
3013,"Mujer",1.11,NA,NA
3014,"Mujer",2.21,NA,NA
3016,"Hombre",1.94,NA,NA
3017,"Hombre",2.41,NA,NA
3018,"Hombre",0.88,NA,NA
3019,"Mujer",1.17,1.35,NA
3027,"Hombre",2.23,NA,NA
3028,"Mujer",1.64,NA,NA
3029,"Mujer",2.14,NA,NA
3030,"Hombre",0.11,0.29,NA
3031,"Hombre",2.17,NA,NA
3032,"Mujer",1.67,NA,NA
3033,"Mujer",1,NA,NA
3034,"Mujer",0.88,NA,NA
3035,"Hombre",2.2,NA,NA
3048,"Hombre",2.17,NA,NA
3049,"Mujer",2.32,NA,NA
3051,"Hombre",1.64,NA,NA
3052,"Mujer",3,NA,NA
3053,"Mujer",2.38,0.85,NA
3054,"Mujer",1.6,1.02,NA
3055,"Mujer",1.58,NA,NA
3056,"Mujer",2.61,NA,NA
3057,"Hombre",1.44,0.05,0.2
3064,"Hombre",1.57,NA,NA
3065,"Mujer",2.32,NA,NA
3068,"Mujer",1.14,NA,NA
3069,"Hombre",1.93,NA,NA
3070,"Hombre",2.47,NA,NA
3072,"Mujer",2.29,NA,NA
3073,"Mujer",1,NA,NA
3092,"Mujer",1.58,NA,NA
3093,"Hombre",2.44,NA,NA
3094,"Mujer",0.83,NA,NA
3095,"Hombre",2.71,0.78,0.33
3096,"Mujer",1.73,NA,NA
3097,"Hombre",1.58,NA,NA
3098,"Hombre",1.5,NA,NA
3100,"Mujer",1.05,NA,NA
3106,"Hombre",2.05,NA,NA
3107,"Mujer",2.63,NA,NA
3109,"Hombre",2.55,2.29,NA
3111,"Mujer",2,NA,NA
3112,"Hombre",2,NA,NA
3114,"Mujer",1.32,NA,NA
3116,"Mujer",3.14,NA,NA
3118,"Hombre",1.44,NA,NA
3129,"Hombre",1.85,0.23,NA
3131,"Mujer",1.41,0.44,NA
3132,"Mujer",1.94,NA,NA
3133,"Hombre",2.91,NA,NA
3135,"Mujer",1.85,NA,NA
3136,"Hombre",1.7,NA,NA
3137,"Mujer",2.23,NA,NA
3138,"Hombre",1.11,NA,NA
3139,"Mujer",1.47,NA,NA
3146,"Mujer",2.2,NA,NA
3147,"Hombre",1.82,NA,NA
3148,"Mujer",1.42,NA,NA
3168,"Mujer",2.44,NA,NA
3171,"Mujer",2.66,NA,NA
3172,"Hombre",1.52,NA,NA
3173,"Mujer",1.35,0.47,0.73
3180,"Mujer",1.29,NA,NA
3182,"Mujer",2.32,NA,NA
3190,"Hombre",0.78,NA,NA
3192,"Mujer",2.84,NA,NA
3202,"Hombre",0.97,NA,NA
3236,"Mujer",1.52,NA,NA
3245,"Mujer",1.7,NA,NA
3246,"Mujer",0.94,1.17,1.29
3247,"Hombre",1.41,NA,NA
3248,"Hombre",1.79,NA,NA
3249,"Hombre",1.08,0.44,0.44
3250,"Hombre",1.47,NA,NA
3251,"Mujer",1.79,0.47,NA
3253,"Hombre",2,NA,NA
3254,"Mujer",0.76,NA,NA
3255,"Hombre",2.2,NA,NA
3256,"Mujer",0.94,0.17,NA
3257,"Mujer",1.38,NA,NA
3258,"Mujer",1.38,0.85,NA
3260,"Hombre",0.32,NA,NA
3261,"Hombre",2.58,NA,NA
3262,"Hombre",0.51,NA,NA
3264,"Mujer",0.32,NA,NA
3267,"Mujer",0.91,1.11,1.7
3273,"Hombre",1.51,NA,NA
3275,"Mujer",1.47,NA,NA
3276,"Mujer",2.5,NA,NA
3277,"Mujer",2.26,NA,NA
3278,"Mujer",2.81,NA,NA
3279,"Mujer",1.87,NA,NA
3281,"Mujer",2,NA,NA
3282,"Mujer",2.23,0.41,1.02
3284,"Hombre",2,0.76,NA
3290,"Mujer",1.41,NA,NA
3291,"Hombre",1.64,NA,NA
3292,"Hombre",1.64,NA,NA
3296,"Hombre",1.26,NA,NA
3306,"Mujer",1.52,0.55,1.88
3307,"Hombre",2.44,1.02,0.76
3308,"Mujer",2.18,NA,NA
3309,"Mujer",3.02,NA,NA
3310,"Mujer",1.02,NA,NA
3311,"Mujer",2.88,NA,NA
3312,"Hombre",1.54,NA,NA
3313,"Mujer",1.64,NA,NA
3314,"Mujer",2.44,2.5,1.7
