transcript,protein,uniprot,align,identity,evalue,name,lineage,domain,genus
TRINITY_DN0_c1_g3_i1,TRINITY_DN0_c1_g3_i1.p1,NFYB_PETMA,"Q:2030-1527,H:21-192",67.63,4.06E-67,Nuclear transcription factor Y subunit beta,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Cyclostomata; Hyperoartia; Petromyzontiformes; Petromyzontidae; Petromyzon,Eukaryota,Petromyzon
TRINITY_DN0_c10_g1_i1,TRINITY_DN0_c10_g1_i1.p1,WFS1_MOUSE,"Q:525-2849,H:60-875",28.019,4.00E-76,Wolframin,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN0_c2_g1_i1,TRINITY_DN0_c2_g1_i1.p1,THNS2_XENLA,"Q:2379-979,H:1-469",51.599,1.21E-167,Threonine synthase-like 2,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus,Eukaryota,Xenopus
TRINITY_DN1_c8_g1_i1,TRINITY_DN1_c8_g1_i1.p1,ACH1_CAEBR,"Q:910-2265,H:23-495",37.421,8.56E-96,Acetylcholine receptor subunit alpha-type acr-16,Eukaryota; Metazoa; Ecdysozoa; Nematoda; Chromadorea; Rhabditida; Rhabditina; Rhabditomorpha; Rhabditoidea; Rhabditidae; Peloderinae; Caenorhabditis,Eukaryota,Caenorhabditis
TRINITY_DN100001_c0_g1_i1,NA,TCB2_CAEBR,"Q:204-31,H:36-93",46.552,6.83E-08,Transposable element Tcb2 transposase,Eukaryota; Metazoa; Ecdysozoa; Nematoda; Chromadorea; Rhabditida; Rhabditina; Rhabditomorpha; Rhabditoidea; Rhabditidae; Peloderinae; Caenorhabditis,Eukaryota,Caenorhabditis
TRINITY_DN10003_c0_g1_i1,TRINITY_DN10003_c0_g1_i1.p1,S28A3_HUMAN,"Q:775-2214,H:128-612",51.731,1.00E-134,Solute carrier family 28 member 3,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo,Eukaryota,Homo
TRINITY_DN100031_c1_g1_i1,TRINITY_DN100031_c1_g1_i1.p1,BTBDH_MOUSE,"Q:390-1169,H:80-322",25.67,7.81E-21,BTB/POZ domain-containing protein 17,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN10006_c0_g1_i3,NA,MAD1_MOUSE,"Q:4169-3924,H:56-137",64.634,1.78E-24,Max dimerization protein 1,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN10008_c0_g1_i1,TRINITY_DN10008_c0_g1_i1.p1,RPP40_HUMAN,"Q:527-6,H:10-183",43.017,7.71E-36,Ribonuclease P protein subunit p40,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo,Eukaryota,Homo
TRINITY_DN10008_c1_g1_i1,NA,RPP40_HUMAN,"Q:218-637,H:191-331",34.722,1.33E-14,Ribonuclease P protein subunit p40,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo,Eukaryota,Homo
TRINITY_DN100093_c0_g1_i1,NA,ZPR1_MOUSE,"Q:520-257,H:275-362",71.591,5.37E-38,Zinc finger protein ZPR1,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN100093_c0_g1_i4,NA,ZPR1_MOUSE,"Q:472-197,H:271-362",69.565,5.76E-38,Zinc finger protein ZPR1,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN100093_c0_g1_i7,TRINITY_DN100093_c0_g1_i7.p2,ZPR1_BOVIN,"Q:1426-77,H:31-453",54.646,3.46E-171,Zinc finger protein ZPR1,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos,Eukaryota,Bos
TRINITY_DN100093_c0_g1_i8,TRINITY_DN100093_c0_g1_i8.p1,ZPR1_MOUSE,"Q:524-261,H:275-362",71.591,4.51E-38,Zinc finger protein ZPR1,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN1001_c0_g1_i11,TRINITY_DN1001_c0_g1_i11.p1,MLXIP_MOUSE,"Q:1451-1107,H:794-906",38.261,2.75E-16,MLX-interacting protein,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN1001_c0_g1_i12,TRINITY_DN1001_c0_g1_i12.p1,MLXIP_MOUSE,"Q:1535-1107,H:766-906",38.462,8.11E-22,MLX-interacting protein,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN1001_c0_g1_i16,TRINITY_DN1001_c0_g1_i16.p1,MLXIP_MOUSE,"Q:1451-1107,H:794-906",38.261,2.88E-16,MLX-interacting protein,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
TRINITY_DN1001_c0_g1_i3,TRINITY_DN1001_c0_g1_i3.p1,MLXIP_MOUSE,"Q:1451-1107,H:794-906",38.261,1.43E-16,MLX-interacting protein,Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,Eukaryota,Mus
